M,type,N1,N2,N3
495,TRIA,250,350,353
496,TRIA,60,352,345
497,TRIA,349,348,355
498,TRIA,301,302,245
499,TRIA,301,245,244
500,TRIA,356,357,94
501,TRIA,94,357,93
502,TRIA,358,356,94
503,TRIA,94,88,349
504,TRIA,355,94,349
505,TRIA,355,358,94
506,TRIA,224,359,360
507,TRIA,360,219,224
508,TRIA,224,361,359
509,TRIA,226,362,363
510,TRIA,227,362,226
511,TRIA,226,363,229
512,TRIA,229,363,364
513,TRIA,26,364,365
514,TRIA,26,365,232
515,TRIA,232,365,361
516,TRIA,229,364,26
517,TRIA,232,361,224
518,TRIA,251,366,227
519,TRIA,366,362,227
520,TRIA,367,366,251
521,TRIA,255,367,251
522,TRIA,368,255,91
523,TRIA,369,368,91
524,TRIA,93,369,91
525,TRIA,368,367,255
526,TRIA,357,369,93
527,TRIA,356,369,357
528,TRIA,219,360,14
529,TRIA,360,359,14
530,TRIA,14,359,370
531,TRIA,90,14,371
532,TRIA,14,370,372
533,TRIA,371,14,372
534,TRIA,373,374,157
535,TRIA,159,373,157
536,TRIA,374,70,157
537,TRIA,374,375,70
538,TRIA,371,376,89
539,TRIA,90,371,89
540,TRIA,89,376,373
541,TRIA,89,373,159
542,TRIA,371,372,376
543,TRIA,70,375,161
544,TRIA,375,377,161
545,TRIA,378,379,172
546,TRIA,378,172,151
547,TRIA,151,161,377
548,TRIA,151,377,378
549,TRIA,379,380,381
550,TRIA,172,379,381
551,TRIA,381,382,172
552,TRIA,382,120,172
553,TRIA,380,383,35
554,TRIA,380,35,382
555,TRIA,37,35,383
556,TRIA,384,37,383
557,TRIA,382,381,380
558,TRIA,37,385,118
559,TRIA,384,385,37
560,TRIA,120,382,35
561,TRIA,385,384,386
562,TRIA,387,388,389
563,TRIA,389,390,193
564,TRIA,386,387,193
565,TRIA,385,193,118
566,TRIA,390,192,193
567,TRIA,389,193,387
568,TRIA,386,193,385
569,TRIA,83,192,390
570,TRIA,391,83,390
571,TRIA,388,391,390
572,TRIA,389,388,390
573,TRIA,137,311,141
574,TRIA,311,305,141
575,TRIA,137,136,392
576,TRIA,391,392,136
577,TRIA,391,136,83
578,TRIA,137,392,311
579,TRIA,393,394,355
580,TRIA,355,394,358
581,TRIA,370,395,372
582,TRIA,375,396,377
583,TRIA,387,397,388
584,TRIA,388,397,398
585,TRIA,377,396,399
586,TRIA,372,395,400
587,TRIA,395,370,401
588,TRIA,402,356,403
589,TRIA,403,358,394
590,TRIA,404,405,392
591,TRIA,404,392,391
592,TRIA,405,309,311
593,TRIA,406,361,407
594,TRIA,361,365,407
595,TRIA,365,408,407
596,TRIA,359,361,406
597,TRIA,401,359,406
598,TRIA,377,399,378
599,TRIA,399,409,378
600,TRIA,409,379,378
601,TRIA,380,379,410
602,TRIA,380,410,411
603,TRIA,409,410,379
604,TRIA,384,383,412
605,TRIA,384,412,413
606,TRIA,383,380,411
607,TRIA,386,384,413
608,TRIA,386,413,414
609,TRIA,383,411,412
610,TRIA,415,393,355
611,TRIA,415,355,348
612,TRIA,416,415,348
613,TRIA,416,348,347
614,TRIA,417,416,347
615,TRIA,417,347,346
616,TRIA,418,344,343
617,TRIA,342,418,343
618,TRIA,419,420,353
619,TRIA,419,353,350
620,TRIA,350,344,418
621,TRIA,350,418,419
622,TRIA,421,422,352
623,TRIA,421,352,351
624,TRIA,351,354,423
625,TRIA,354,353,420
626,TRIA,351,423,421
627,TRIA,354,420,423
