M,type,N1,N2,N3,N4
277,QUAD,307,325,338,269.0
278,QUAD,248,105,346,228.0
279,QUAD,170,246,236,239.0
282,QUAD,243,91,13477,13461.0
283,QUAD,337,90,10534,253.0
284,QUAD,144,256,247,250.0
285,QUAD,269,324,306,307.0
286,QUAD,281,265,8,13428.0
287,TRIA,248,263,105,
288,QUAD,249,13393,204,203.0
289,QUAD,244,13737,17,7.0
290,QUAD,331,53,13469,258.0
291,QUAD,259,274,161,13401.0
292,QUAD,261,281,13428,13429.0
293,QUAD,265,281,13465,230.0
294,QUAD,13437,315,11,211.0
295,QUAD,154,313,238,36.0
296,QUAD,253,200,283,10816.0
298,QUAD,226,225,54,199.0
299,QUAD,59,174,43,199.0
301,QUAD,13405,13541,225,219.0
302,QUAD,207,234,309,308.0
303,QUAD,13463,145,221,312.0
306,TRIA,1325,264,110,
307,QUAD,13693,317,262,297.0
308,QUAD,10816,244,7,253.0
309,TRIA,37,312,209,
310,TRIA,13469,249,203,
311,QUAD,13393,249,259,13401.0
312,QUAD,53,326,274,259.0
313,QUAD,234,205,310,309.0
315,QUAD,17,335,267,16.0
316,QUAD,30,13463,312,198.0
319,QUAD,314,13387,173,185.0
320,QUAD,7,11,10534,253.0
321,QUAD,270,184,325,307.0
322,QUAD,184,270,296,60.0
323,QUAD,1325,100,333,271.0
324,TRIA,32,38,319,
325,QUAD,152,275,289,106.0
326,QUAD,320,275,152,322.0
327,QUAD,143,166,287,276.0
328,QUAD,277,64,13541,13405.0
331,QUAD,25,56,13439,194.0
332,QUAD,13468,272,345,274.0
333,QUAD,345,273,161,274.0
334,QUAD,97,304,305,183.0
335,QUAD,200,13438,284,283.0
336,QUAD,333,334,13386,220.0
337,QUAD,166,140,288,287.0
338,QUAD,106,289,290,193.0
339,QUAD,193,290,291,212.0
340,QUAD,212,291,292,84.0
341,QUAD,84,292,293,82.0
342,QUAD,82,293,294,80.0
343,QUAD,80,294,295,77.0
344,QUAD,75,298,299,83.0
345,QUAD,83,299,300,66.0
346,QUAD,66,300,301,189.0
347,QUAD,189,301,302,95.0
348,QUAD,95,302,303,101.0
349,QUAD,101,303,304,97.0
350,TRIA,13474,47,13411,
351,TRIA,13473,51,13455,
354,QUAD,1325,314,185,186.0
355,QUAD,271,1325,186,328.0
356,QUAD,1321,271,328,346.0
357,TRIA,345,278,273,
358,QUAD,205,206,311,310.0
359,QUAD,206,186,185,311.0
360,QUAD,61,174,316,323.0
361,QUAD,132,148,313,154.0
362,QUAD,176,50,13471,177.0
363,QUAD,53,331,340,326.0
364,QUAD,326,340,339,13468.0
365,QUAD,316,55,96,323.0
366,QUAD,13468,339,338,272.0
367,TRIA,315,10534,11,
368,TRIA,317,13693,82,
369,QUAD,13475,49,13715,335.0
370,QUAD,337,13446,13447,90.0
371,TRIA,13453,13464,38,
372,TRIA,13466,13453,38,
373,TRIA,320,276,133,
374,TRIA,4,38,13464,
375,TRIA,38,4,319,
376,TRIA,32,13466,38,
377,TRIA,321,21,13466,
378,QUAD,276,320,322,143.0
379,TRIA,322,46,143,
380,QUAD,142,318,322,152.0
381,QUAD,183,305,306,324.0
382,QUAD,272,338,325,279.0
383,TRIA,326,13468,274,
384,TRIA,176,326,53,
385,QUAD,263,327,340,331.0
386,QUAD,195,168,327,149.0
387,QUAD,335,13715,336,267.0
388,QUAD,325,184,117,279.0
389,QUAD,329,10,13409,39.0
390,QUAD,100,13385,334,333.0
391,QUAD,146,330,13409,10.0
392,QUAD,241,1321,346,105.0
393,QUAD,203,204,344,343.0
394,QUAD,241,227,342,341.0
395,QUAD,227,203,343,342.0
396,TRIA,49,13458,13445,
397,TRIA,13473,13515,51,
398,TRIA,13474,13531,47,
399,TRIA,13476,13460,13397,
27100,TRIA,13460,13476,13459,
27102,TRIA,13476,13397,13459,
27138,QUAD,346,328,245,228.0
27142,QUAD,13389,9,13622,13396.0
27147,QUAD,13540,64,277,93.0
27151,QUAD,1325,110,9,314.0
27153,QUAD,217,114,121,216.0
27162,QUAD,13476,121,13622,13460.0
27243,QUAD,297,13679,13687,13693.0
27250,QUAD,317,13698,13691,262.0
27252,QUAD,13694,13700,293,292.0
27258,QUAD,13700,13705,294,293.0
27259,QUAD,13701,13706,13700,13694.0
27263,QUAD,13698,13399,13403,13691.0
27266,QUAD,13706,13711,13705,13700.0
27271,QUAD,13705,13431,295,294.0
27278,QUAD,13711,13430,13431,13705.0
27284,QUAD,13458,268,19,257.0
27304,QUAD,13458,257,13715,49.0
27347,TRIA,215,13461,13477,
27349,QUAD,13477,91,116,120.0
27353,QUAD,13478,13472,12226,12997.0
27354,QUAD,108,12998,332,13478.0
27355,TRIA,172,171,13478,
27369,TRIA,49,13462,13458,
27370,TRIA,49,13445,13462,
